month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,12836.84,8023.16,28178.47,0.0,130.6122448979592
2,36671.0,25254.0,13867.27,11386.73,23552.12,0.0,153.06122448979593
3,49038.0,32398.0,20299.45,12098.55,29739.33,0.0,142.85714285714286
4,54890.0,26646.0,19268.55,7377.45,36741.65,0.0,182.48979591836735
5,66616.0,27079.0,22297.37,4781.63,45678.14,0.0,175.51020408163265
6,77588.0,24833.0,22498.47,2334.53,56672.96,0.0,224.48979591836735
7,111215.0,25616.0,24710.78,905.22,88773.92,0.0,251.0204081632653
8,118228.0,18807.0,18743.31,63.69,101897.51,0.0,267.3469387755102
9,90874.0,24871.0,23284.84,1586.16,69443.73,0.0,244.9387755102041
10,72491.0,22019.0,18271.35,3747.65,55699.06,0.0,210.20408163265307
11,49925.0,19486.0,14371.04,5114.96,36572.84,0.0,144.89795918367346
12,45251.0,19764.0,13943.61,5820.39,32230.88,0.0,124.48979591836736
