month,消費電力量,PV発電量,PV使用量,PV抑制量,買電量,平均SOC,最大買電電力
1,40195.0,20860.0,20860.0,-0.0,20520.66,267.65,51.66465395678775
2,36671.0,25254.0,25254.0,-0.0,12950.34,316.96,38.134200549071714
3,49038.0,32398.0,32398.0,-0.0,17897.67,314.33,84.68283488077375
4,54890.0,26646.0,26646.0,-0.0,30115.52,285.7,112.62789250781464
5,66616.0,27079.0,27079.0,-0.0,41410.52,264.21,163.91020408163263
6,77588.0,24833.0,24833.0,-0.0,54841.98,243.98,201.7261231856341
7,111215.0,25616.0,25616.0,-0.0,88468.41,304.27,232.41697753360975
8,118228.0,18807.0,18807.0,-0.0,102199.49,205.33,236.99770315812145
9,90874.0,24871.0,24871.0,0.0,68409.16,236.86,198.79505576640267
10,72491.0,22019.0,22019.0,0.0,52368.86,236.16,176.73956097732415
11,49925.0,19486.0,19486.0,-0.0,31919.4,206.34,88.87893378364885
12,45251.0,19764.0,19764.0,-0.0,26707.61,216.52,62.71950944938172
